,Oil,Oil,NZD/USD,NZD/USD,10-Yr Rate,10-Yr Rate,AIR.NZ,AIR.NZ
,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor,PCT Change %,Factor
2017-05-01,-0.406,BZ=F,-0.14,NZDUSD=X,1.884,^TNX,2.353,AIR.NZ
2017-05-02,-2.057,BZ=F,0.709,NZDUSD=X,-1.247,^TNX,3.257,AIR.NZ
2017-05-03,0.654,BZ=F,0.577,NZDUSD=X,0.566,^TNX,-3.525,AIR.NZ
2017-05-04,-4.745,BZ=F,-1.092,NZDUSD=X,2.036,^TNX,0.0,AIR.NZ
2017-05-05,1.488,BZ=F,-0.158,NZDUSD=X,-0.17,^TNX,2.692,AIR.NZ
2017-05-08,0.489,BZ=F,0.366,NZDUSD=X,1.02,^TNX,2.622,AIR.NZ
2017-05-09,-1.236,BZ=F,0.29,NZDUSD=X,1.305,^TNX,-0.365,AIR.NZ
2017-05-10,3.058,BZ=F,-0.331,NZDUSD=X,0.291,^TNX,0.549,AIR.NZ
2017-05-11,1.095,BZ=F,-0.933,NZDUSD=X,-0.58,^TNX,0.546,AIR.NZ
2017-05-12,0.138,BZ=F,0.151,NZDUSD=X,-2.708,^TNX,1.449,AIR.NZ
2017-05-15,1.928,BZ=F,0.329,NZDUSD=X,0.128,^TNX,-1.786,AIR.NZ
2017-05-16,-0.328,BZ=F,0.348,NZDUSD=X,-0.385,^TNX,1.818,AIR.NZ
2017-05-17,1.084,BZ=F,0.002,NZDUSD=X,-4.852,^TNX,0.714,AIR.NZ
2017-05-18,0.575,BZ=F,0.715,NZDUSD=X,0.767,^TNX,-0.709,AIR.NZ
2017-05-19,2.095,BZ=F,-0.636,NZDUSD=X,0.537,^TNX,2.5,AIR.NZ
2017-05-22,0.485,BZ=F,0.561,NZDUSD=X,0.401,^TNX,0.0,AIR.NZ
2017-05-23,0.52,BZ=F,1.016,NZDUSD=X,1.375,^TNX,-0.348,AIR.NZ
2017-05-24,-0.351,BZ=F,0.062,NZDUSD=X,-0.832,^TNX,0.35,AIR.NZ
2017-05-25,-4.633,BZ=F,0.531,NZDUSD=X,-0.485,^TNX,0.0,AIR.NZ
2017-05-26,1.341,BZ=F,-0.394,NZDUSD=X,-0.222,^TNX,0.0,AIR.NZ
2017-05-30,-0.594,BZ=F,0.0,NZDUSD=X,-1.467,^TNX,-0.174,AIR.NZ
2017-05-31,-2.951,BZ=F,0.494,NZDUSD=X,-0.947,^TNX,0.0,AIR.NZ
2017-06-01,0.04,BZ=F,-0.043,NZDUSD=X,0.956,^TNX,5.226,AIR.NZ
2017-06-02,-0.755,BZ=F,-0.302,NZDUSD=X,-2.616,^TNX,-3.974,AIR.NZ
2017-06-05,-0.961,BZ=F,1.065,NZDUSD=X,1.065,^TNX,,
2017-06-06,1.314,BZ=F,-0.093,NZDUSD=X,-1.604,^TNX,2.414,AIR.NZ
2017-06-07,-4.11,BZ=F,0.702,NZDUSD=X,1.444,^TNX,1.01,AIR.NZ
2017-06-08,-0.416,BZ=F,0.127,NZDUSD=X,0.735,^TNX,0.0,AIR.NZ
2017-06-09,0.606,BZ=F,0.125,NZDUSD=X,0.228,^TNX,0.0,AIR.NZ
2017-06-12,0.291,BZ=F,0.133,NZDUSD=X,0.637,^TNX,-1.167,AIR.NZ
2017-06-13,0.89,BZ=F,-0.03,NZDUSD=X,-0.271,^TNX,3.541,AIR.NZ
2017-06-14,-3.53,BZ=F,0.006,NZDUSD=X,-3.126,^TNX,4.072,AIR.NZ
2017-06-15,-0.17,BZ=F,0.543,NZDUSD=X,1.123,^TNX,-0.313,AIR.NZ
2017-06-16,0.959,BZ=F,-0.582,NZDUSD=X,-0.231,^TNX,0.157,AIR.NZ
2017-06-19,-0.971,BZ=F,0.845,NZDUSD=X,1.53,^TNX,0.0,AIR.NZ
2017-06-20,-1.897,BZ=F,-0.528,NZDUSD=X,-1.689,^TNX,1.881,AIR.NZ
2017-06-21,-2.608,BZ=F,0.182,NZDUSD=X,0.093,^TNX,-2.462,AIR.NZ
